what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1411632136718
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1411632162515
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1411632163437
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1411632165968
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1411632200093
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1411632200109
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1411632200187
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1411632441812
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1411632445765
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1411632448921
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1411632452984
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1411632455203
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1411632457875
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1411632459890
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1411632463078
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1411632466562
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1411632470656
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1411632478703
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1411632510390
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1411632510421
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1411632510578
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1411632512921
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1411632515515
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1411632517062
closed,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1411632517062
closed,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1411632517078
closed,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1411632517093
closed,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1411632517140
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1411632522359
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1411632527484
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1411632527640
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1411632527718
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.goto.lineEnd",1411632530843
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1411632534843
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1411632536453
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1411632600078
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1411632602031
executed,command,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.edit.text.java.generate.constructor.using.fields",1411632602093
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1411632606968
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1411632608281
executed,command,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.edit.text.java.generate.constructor.using.fields",1411632608343
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1411632649718
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1411632671031
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1411632672625
executed,command,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.edit.text.java.create.getter.setter",1411632672750
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1411632675093
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1411632678640
executed,command,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.edit.text.java.generate.tostring",1411632678703
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1411632683968
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1411632684234
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1411632684437
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1411632685343
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1411632711828
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1411632711828
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1411632711921
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1411632717421
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1411632722062
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1411632725968
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1411632729984
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1411632730140
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1411632730234
executed,command,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.edit.text.java.organize.imports",1411632755921
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1411632763671
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1411632774343
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1411632775750
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1411632807109
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1411632808468
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1411632811875
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1411632818312
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1411632838453
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1411632838640
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1411632838750
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.toggleOverwrite",1411632845875
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.toggleOverwrite",1411632846921
executed,command,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.edit.text.java.organize.imports",1411632849281
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1411632851218
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1411632855375
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1411632856156
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1411632856343
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1411632858203
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1411632861265
executed,command,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.edit.text.java.organize.imports",1411632875687
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1411632878671
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1411632881765
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.goto.lineEnd",1411632894859
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1411632935765
