what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.pde.api.tools,1.0.301.v20111129-2053,"org.eclipse.pde.api.tools",1411623947218
started,bundle,org.eclipse.pde.api.tools.ui,1.0.301.v20110803_r371,"org.eclipse.pde.api.tools.ui",1411623947218
started,bundle,org.eclipse.mylyn.java.ui,3.8.2.v20120916-1200,"org.eclipse.mylyn.java.ui",1411623947234
started,bundle,org.codehaus.groovy.eclipse.codeassist.completion,2.7.2.xx-RELEASE-20121219-0800-e37,"org.codehaus.groovy.eclipse.codeassist.completion",1411623947281
started,bundle,org.eclipse.jpt.jaxb.core,1.0.2.v201111103010,"org.eclipse.jpt.jaxb.core",1411623947578
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1411623950796
activated,view,org.eclipse.ui.views,3.6.0.v20110928-1505,"org.eclipse.ui.views.ContentOutline",1411623952859
started,bundle,com.tetrade.eclipse.plugins.easyshell,1.4.0.1,"com.tetrade.eclipse.plugins.easyshell",1411623953015
started,bundle,org.eclipse.compare,3.5.202.R37x_v20111109-0800,"org.eclipse.compare",1411623953218
started,bundle,org.eclipse.mylyn.context.ui,3.8.2.v20120916-1200,"org.eclipse.mylyn.context.ui",1411623953343
started,bundle,org.eclipse.cdt.debug.core,7.1.0.201202111925,"org.eclipse.cdt.debug.core",1411623954625
started,bundle,org.eclipse.cdt.debug.ui,7.1.2.201202111925,"org.eclipse.cdt.debug.ui",1411623954687
executed,command,org.eclipse.jdt.junit,3.7.0.v20110928-1453,"org.eclipse.jdt.junit.junitShortcut.run",1411623955359
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1411623955421
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1411623957703
opened,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1411623959484
started,bundle,org.eclipse.cdt.dsf,2.2.0.201202111925,"org.eclipse.cdt.dsf",1411623959562
started,bundle,org.eclipse.cdt.dsf.gdb,4.0.2.201202111925,"org.eclipse.cdt.dsf.gdb",1411623959562
started,bundle,org.eclipse.cdt.dsf.gdb.ui,2.2.1.201202111925,"org.eclipse.cdt.dsf.gdb.ui",1411623959578
started,bundle,org.eclipse.cdt.debug.mi.ui,6.1.1.201202111925,"org.eclipse.cdt.debug.mi.ui",1411623959593
started,bundle,org.eclipse.cdt.debug.mi.core,7.1.1.201202111925,"org.eclipse.cdt.debug.mi.core",1411623960187
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1411623961796
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1411623961828
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1411623961875
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1411623968484
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1411623969734
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1411623970765
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1411623975078
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1411623975093
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1411623975171
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1411623982812
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1411623984203
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1411623988953
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1411623989062
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1411623990828
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1411623993015
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1411623993156
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1411623994312
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1411624001640
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1411624001812
